"","country","total_wins","total_losses","total_draws","total_GP","win_perc","home_goals","H_goals_against","H_total_matches","away_goals","A_goals_against","A_total_matches","total_goals","total_goals_against","diff","total_matches","goals_per_game","goals_against_per_game","avg_diff"
"51","Slovenia",1,4,1,6,0.25,3,6,3,2,4,3,5,10,-5,6,0.833333333333333,1.66666666666667,-0.833333333333333
"52","South Africa",2,3,4,9,0.444444444444444,9,11,7,2,5,2,11,16,-5,9,1.22222222222222,1.77777777777778,-0.555555555555556
"53","South Korea",7,19,8,34,0.323529411764706,22,32,20,12,38,14,34,70,-36,34,1,2.05882352941176,-1.05882352941176
"54","Soviet Union",15,10,6,31,0.580645161290323,20,10,9,33,24,22,53,34,19,31,1.70967741935484,1.09677419354839,0.612903225806452
"55","Spain",31,21,11,63,0.579365079365079,49,39,30,50,33,33,99,72,27,63,1.57142857142857,1.14285714285714,0.428571428571429
"56","Sweden",20,19,12,51,0.509803921568627,38,26,25,42,47,26,80,73,7,51,1.56862745098039,1.43137254901961,0.137254901960784
"57","Switzerland",12,18,7,37,0.418918918918919,19,24,12,31,40,25,50,64,-14,37,1.35135135135135,1.72972972972973,-0.378378378378378
"58","Tunisia",2,9,4,15,0.266666666666667,4,5,3,9,20,12,13,25,-12,15,0.866666666666667,1.66666666666667,-0.8
"59","Turkey",5,4,1,10,0.55,3,0,1,17,17,9,20,17,3,10,2,1.7,0.3
"60","Ukraine",3,2,0,5,0.6,1,0,1,4,7,4,5,7,-2,5,1,1.4,-0.4
"61","United States",8,19,6,33,0.333333333333333,12,22,13,25,40,20,37,62,-25,33,1.12121212121212,1.87878787878788,-0.757575757575758
"62","Uruguay",25,20,11,56,0.544642857142857,31,26,19,56,48,37,87,74,13,56,1.55357142857143,1.32142857142857,0.232142857142857
"63","Wales",1,1,3,5,0.5,0,0,0,4,4,5,4,4,0,5,0.8,0.8,0
"64","West Germany",39,12,11,62,0.717741935483871,93,43,43,38,34,19,131,77,54,62,2.11290322580645,1.24193548387097,0.870967741935484
"65","Yugoslavia",14,13,6,33,0.515151515151515,14,1,5,41,41,28,55,42,13,33,1.66666666666667,1.27272727272727,0.393939393939394
"66","Angola",0,1,2,3,0.333333333333333,0,1,1,1,1,2,1,2,-1,3,0.333333333333333,0.666666666666667,-0.333333333333333
"67","Bolivia",0,5,1,6,0.0833333333333333,1,19,4,0,1,2,1,20,-19,6,0.166666666666667,3.33333333333333,-3.16666666666667
"68","Canada",0,3,0,3,0,0,1,1,0,4,2,0,5,-5,3,0,1.66666666666667,-1.66666666666667
"69","China PR",0,3,0,3,0,0,2,1,0,7,2,0,9,-9,3,0,3,-3
"70","Dutch West Indies",0,1,0,1,0,0,0,0,0,6,1,0,6,-6,1,0,6,-6
"71","Egypt",0,5,2,7,0.142857142857143,2,5,2,3,7,5,5,12,-7,7,0.714285714285714,1.71428571428571,-1
"72","El Salvador",0,6,0,6,0,0,2,1,1,20,5,1,22,-21,6,0.166666666666667,3.66666666666667,-3.5
"73","Haiti",0,3,0,3,0,0,7,1,2,7,2,2,14,-12,3,0.666666666666667,4.66666666666667,-4
"74","Honduras",0,6,3,9,0.166666666666667,2,8,5,1,6,4,3,14,-11,9,0.333333333333333,1.55555555555556,-1.22222222222222
"75","Iceland",0,2,1,3,0.166666666666667,1,2,1,1,3,2,2,5,-3,3,0.666666666666667,1.66666666666667,-1
"76","Iraq",0,3,0,3,0,1,2,1,0,2,2,1,4,-3,3,0.333333333333333,1.33333333333333,-1
"77","Israel",0,1,2,3,0.333333333333333,1,3,3,0,0,0,1,3,-2,3,0.333333333333333,1,-0.666666666666667
"78","Kuwait",0,2,1,3,0.166666666666667,0,0,0,2,6,3,2,6,-4,3,0.666666666666667,2,-1.33333333333333
"79","New Zealand",0,3,3,6,0.25,1,1,1,3,13,5,4,14,-10,6,0.666666666666667,2.33333333333333,-1.66666666666667
"80","Panama",0,3,0,3,0,1,2,1,1,9,2,2,11,-9,3,0.666666666666667,3.66666666666667,-3
"81","Togo",0,3,0,3,0,0,4,2,1,2,1,1,6,-5,3,0.333333333333333,2,-1.66666666666667
"82","Trinidad and Tobago",0,2,1,3,0.166666666666667,0,0,1,0,4,2,0,4,-4,3,0,1.33333333333333,-1.33333333333333
"83","United Arab Emirates",0,3,0,3,0,0,2,1,2,9,2,2,11,-9,3,0.666666666666667,3.66666666666667,-3
"84","Zaire",0,3,0,3,0,0,5,2,0,9,1,0,14,-14,3,0,4.66666666666667,-4.66666666666667
